2025-02-26 21:32:54,085 INFO    StreamThr :9449 [internal.py:wandb_internal():86] W&B internal server running at pid: 9449, started at: 2025-02-26 21:32:54.085510
2025-02-26 21:32:54,086 DEBUG   HandlerThread:9449 [handler.py:handle_request():146] handle_request: status
2025-02-26 21:32:54,088 INFO    WriterThread:9449 [datastore.py:open_for_write():87] open: /Users/cpconnor/CascadeProjects/multi-platform-content-generator/wandb/offline-run-20250226_213254-irsdytfi/run-irsdytfi.wandb
2025-02-26 21:32:54,091 DEBUG   HandlerThread:9449 [handler.py:handle_request():146] handle_request: run_start
2025-02-26 21:32:54,096 DEBUG   HandlerThread:9449 [system_info.py:__init__():26] System info init
2025-02-26 21:32:54,096 DEBUG   HandlerThread:9449 [system_info.py:__init__():41] System info init done
2025-02-26 21:32:54,097 INFO    HandlerThread:9449 [system_monitor.py:start():194] Starting system monitor
2025-02-26 21:32:54,097 INFO    SystemMonitor:9449 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-02-26 21:32:54,097 INFO    HandlerThread:9449 [system_monitor.py:probe():214] Collecting system info
2025-02-26 21:32:54,098 DEBUG   HandlerThread:9449 [system_info.py:probe():150] Probing system
2025-02-26 21:32:54,098 INFO    SystemMonitor:9449 [interfaces.py:start():190] Started cpu monitoring
2025-02-26 21:32:54,099 INFO    SystemMonitor:9449 [interfaces.py:start():190] Started disk monitoring
2025-02-26 21:32:54,099 INFO    SystemMonitor:9449 [interfaces.py:start():190] Started gpuapple monitoring
2025-02-26 21:32:54,101 INFO    SystemMonitor:9449 [interfaces.py:start():190] Started memory monitoring
2025-02-26 21:32:54,101 INFO    SystemMonitor:9449 [interfaces.py:start():190] Started network monitoring
2025-02-26 21:32:54,104 DEBUG   HandlerThread:9449 [gitlib.py:_init_repo():56] git repository is invalid
2025-02-26 21:32:54,104 DEBUG   HandlerThread:9449 [system_info.py:probe():198] Probing system done
2025-02-26 21:32:54,104 DEBUG   HandlerThread:9449 [system_monitor.py:probe():223] {'os': 'macOS-15.3.1-arm64-arm-64bit-Mach-O', 'python': '3.13.2', 'heartbeatAt': '2025-02-27T03:32:54.098404', 'startedAt': '2025-02-27T03:32:54.082548', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/cpconnor/CascadeProjects/multi-platform-content-generator/finetune_model.py', 'codePathLocal': 'finetune_model.py', 'codePath': 'finetune_model.py', 'host': 'Mac.lan', 'username': 'cpconnor', 'executable': '/Users/cpconnor/CascadeProjects/multi-platform-content-generator/venv/bin/python', 'cpu_count': 14, 'cpu_count_logical': 14, 'cpu_freq': {'current': 4, 'min': 1, 'max': 4}, 'cpu_freq_per_core': [{'current': 4, 'min': 1, 'max': 4}], 'disk': {'/': {'total': 460.4317207336426, 'used': 10.393470764160156}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 48.0}}
2025-02-26 21:32:54,104 INFO    HandlerThread:9449 [system_monitor.py:probe():224] Finished collecting system info
2025-02-26 21:32:54,104 INFO    HandlerThread:9449 [system_monitor.py:probe():227] Publishing system info
2025-02-26 21:32:54,104 INFO    HandlerThread:9449 [system_monitor.py:probe():229] Finished publishing system info
2025-02-26 21:32:54,141 DEBUG   HandlerThread:9449 [handler.py:handle_request():146] handle_request: python_packages
2025-02-26 21:32:56,524 DEBUG   SenderThread:9449 [sender.py:send():379] send: exit
2025-02-26 21:32:56,524 INFO    SenderThread:9449 [sender.py:send_exit():586] handling exit code: 0
2025-02-26 21:32:56,526 INFO    SenderThread:9449 [sender.py:send_exit():588] handling runtime: 2
2025-02-26 21:32:56,527 INFO    SenderThread:9449 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2025-02-26 21:32:56,527 INFO    SenderThread:9449 [sender.py:send_exit():594] send defer
2025-02-26 21:32:56,527 DEBUG   HandlerThread:9449 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:32:56,527 INFO    HandlerThread:9449 [handler.py:handle_request_defer():172] handle defer: 0
2025-02-26 21:32:56,527 DEBUG   SenderThread:9449 [sender.py:send_request():406] send_request: defer
2025-02-26 21:32:56,527 INFO    SenderThread:9449 [sender.py:send_request_defer():610] handle sender defer: 0
2025-02-26 21:32:56,527 INFO    SenderThread:9449 [sender.py:transition_state():614] send defer: 1
2025-02-26 21:32:56,527 DEBUG   HandlerThread:9449 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:32:56,527 INFO    HandlerThread:9449 [handler.py:handle_request_defer():172] handle defer: 1
2025-02-26 21:32:56,527 DEBUG   SenderThread:9449 [sender.py:send_request():406] send_request: defer
2025-02-26 21:32:56,527 INFO    SenderThread:9449 [sender.py:send_request_defer():610] handle sender defer: 1
2025-02-26 21:32:56,527 INFO    SenderThread:9449 [sender.py:transition_state():614] send defer: 2
2025-02-26 21:32:56,527 DEBUG   HandlerThread:9449 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:32:56,527 INFO    HandlerThread:9449 [handler.py:handle_request_defer():172] handle defer: 2
2025-02-26 21:32:56,527 INFO    HandlerThread:9449 [system_monitor.py:finish():203] Stopping system monitor
2025-02-26 21:32:56,527 DEBUG   SystemMonitor:9449 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2025-02-26 21:32:56,527 DEBUG   SystemMonitor:9449 [system_monitor.py:_start():179] Finished system metrics aggregation loop
2025-02-26 21:32:56,527 DEBUG   SystemMonitor:9449 [system_monitor.py:_start():183] Publishing last batch of metrics
2025-02-26 21:32:56,527 INFO    HandlerThread:9449 [interfaces.py:finish():202] Joined cpu monitor
